DispatchID,Warehouse,ItemID,OrderID,CustomerID,Postcode,DispatchTimestamp
1,London,1484,439081,3926,DA8 1SP,2020-05-04 09:26:01
2,London,81422,432434,9561,W4 2HU,2020-05-04 09:26:01
3,London,76552,439678,2071,TW7 6AZ,2020-05-04 09:26:01
4,London,95592,439678,2071,TW7 6AZ,2020-05-04 09:26:01
5,London,26,425544,6077,RM12 6DR,2020-05-04 09:26:01
6,London,75252,424738,4606,EN3 6DY,2020-05-04 09:26:01
7,London,4464,439994,2869,BR5 1BY,2020-05-04 09:26:01
8,London,76552,430847,9408,EN4 8BG,2020-05-04 09:26:01
9,London,4464,442555,3484,HA5 3QG,2020-05-04 09:26:01
10,London,62462,443396,7001,N12 8DD,2020-05-04 09:26:01
11,London,26,437597,5152,N1P 2YL,2020-05-04 09:26:01
12,London,76552,437587,4289,SE25 4WH,2020-05-04 09:26:01
13,London,108342,437587,4289,SE25 4WH,2020-05-04 09:26:01
14,London,62462,437587,4289,SE25 4WH,2020-05-04 09:26:01
15,London,75252,437587,4289,SE25 4WH,2020-05-04 09:26:01
16,London,4464,423647,9855,W1C 1DX,2020-05-04 09:26:01
17,London,4464,433422,4179,N8 0AP,2020-05-04 09:26:01
18,London,75252,424606,3636,NW8 0SQ,2020-05-04 09:26:01
19,London,76552,423643,10358,HA5 3NN,2020-05-04 09:26:01
20,London,76552,439493,2146,SE2 0AD,2020-05-04 09:26:01
21,South East,26,434095,9068,CT11 0FB,2020-05-04 09:35:06
22,South East,76552,433066,2084,CT21 5RF,2020-05-04 09:35:06
23,South East,75252,426619,3956,RH4 1HF,2020-05-04 09:35:06
24,South East,6439,432910,5488,PO15 7ZS,2020-05-04 09:35:06
25,South East,95592,432910,5488,PO15 7ZS,2020-05-04 09:35:06
26,South East,1484,432910,5488,PO15 7ZS,2020-05-04 09:35:06
27,South East,4464,432910,5488,PO15 7ZS,2020-05-04 09:35:06
28,South East,95592,442768,6719,OX7 5FZ,2020-05-04 09:35:06
29,South East,62462,443049,8331,TN2 5XG,2020-05-04 09:35:06
30,South East,75252,426499,4231,ME1 3TX,2020-05-04 09:35:06
31,South East,6439,425712,1379,MK46 4AE,2020-05-04 09:35:06
32,South East,62462,440736,9226,RH5 4LU,2020-05-04 09:35:06
33,South East,81422,442609,3009,DA13 0TQ,2020-05-04 09:35:06
34,South East,26,436003,9239,DA13 0TQ,2020-05-04 09:35:06
35,South East,1484,442530,4017,CT20 1LL,2020-05-04 09:35:06
36,South East,76552,432485,9076,OX28 6HL,2020-05-04 09:35:06
37,South East,62462,438358,6846,TN27 8JN,2020-05-04 09:35:06
38,South East,26,433640,9527,SL1 6JE,2020-05-04 09:35:06
39,South East,26,428875,1940,RG4 6GE,2020-05-04 09:35:06
40,South East,26,435314,9849,PO33 3DJ,2020-05-04 09:35:06
41,South West,81422,441346,3236,PL22 0JX,2020-05-04 09:44:23
42,South West,95592,431333,4594,EX14 4AF,2020-05-04 09:44:23
43,South West,4464,427893,10099,EX14 3AG,2020-05-04 09:44:23
44,South West,76552,423934,7133,SN25 2QG,2020-05-04 09:44:23
45,South West,1484,441827,10434,BA7 7NG,2020-05-04 09:44:23
46,South West,62462,425870,4060,DT2 9SQ,2020-05-04 09:44:23
47,South West,95592,427192,2956,BS23 1BU,2020-05-04 09:44:23
48,South West,26,427192,2956,BS23 1BU,2020-05-04 09:44:23
49,South West,76552,425169,10282,BS5 6NL,2020-05-04 09:44:23
50,South West,1484,439353,6129,BS15 3AU,2020-05-04 09:44:23
51,South West,26,439353,6129,BS15 3AU,2020-05-04 09:44:23
52,South West,108342,431039,5304,PL14 6SP,2020-05-04 09:44:23
53,South West,108342,436396,10741,TQ6 0EZ,2020-05-04 09:44:23
54,South West,95592,442679,7795,GL5 1UW,2020-05-04 09:44:23
55,South West,26,431930,2307,BA4 6DS,2020-05-04 09:44:23
56,South West,1484,427183,4330,TR26 1DJ,2020-05-04 09:44:23
57,South West,26,439884,10521,PL4 6QD,2020-05-04 09:44:23
58,South West,62462,439884,10521,PL4 6QD,2020-05-04 09:44:23
59,South West,26,438833,4061,TR15 3AL,2020-05-04 09:44:23
60,South West,95592,432085,5018,PL32 9YF,2020-05-04 09:44:23
61,South West,1484,432085,5018,PL32 9YF,2020-05-04 09:44:23
62,South West,75252,432085,5018,PL32 9YF,2020-05-04 09:44:23
63,North West,81422,436055,2389,CA11 8BS,2020-05-04 09:47:10
64,North West,76552,427085,10534,M5 4SW,2020-05-04 09:47:10
65,North West,6439,426536,2802,BL2 6JP,2020-05-04 09:47:10
66,North West,4464,430052,5034,CW7 2DS,2020-05-04 09:47:10
67,North West,6439,429218,10063,L4 3RS,2020-05-04 09:47:10
68,North West,62462,426280,2646,LA3 2QD,2020-05-04 09:47:10
69,North West,6439,429206,8674,PR9 9DU,2020-05-04 09:47:10
70,North West,4464,432550,7044,PR25 5PU,2020-05-04 09:47:10
71,North West,95592,427075,11058,BB5 0EW,2020-05-04 09:47:10
72,North West,62462,429458,3018,FY8 4LP,2020-05-04 09:47:10
73,North West,76552,429606,6947,M22 4XN,2020-05-04 09:47:10
74,North West,4464,429108,11116,M9 6RW,2020-05-04 09:47:10
75,North West,4464,439476,7382,M27 4DQ,2020-05-04 09:47:10
76,North West,75252,427294,3234,WA10 2DF,2020-05-04 09:47:10
77,North West,26,431357,1273,CW6 9RF,2020-05-04 09:47:10
78,North West,108342,431357,1273,CW6 9RF,2020-05-04 09:47:10
79,North West,6439,431499,3933,PR1 2QF,2020-05-04 09:47:10
80,North West,4464,438679,2347,WN2 4JJ,2020-05-04 09:47:10
81,North West,81422,435083,3720,BL3 1PZ,2020-05-04 09:47:10
82,North West,4464,424972,5537,WA5 1EL,2020-05-04 09:47:10
83,North West,62462,424972,5537,WA5 1EL,2020-05-04 09:47:10
84,West Midlands,108342,426513,4609,B78 3PH,2020-05-04 09:50:50
85,West Midlands,62462,435253,4311,ST5 0LU,2020-05-04 09:50:50
86,West Midlands,62462,441977,5422,B14 5UB,2020-05-04 09:50:50
87,West Midlands,81422,426778,5557,B63 3UJ,2020-05-04 09:50:50
88,West Midlands,75252,428698,10156,CV34 5HJ,2020-05-04 09:50:50
89,West Midlands,62462,438231,7052,ST5 0JX,2020-05-04 09:50:50
90,West Midlands,81422,442780,6314,B32 4NL,2020-05-04 09:50:50
91,West Midlands,81422,440330,1649,DY11 7ED,2020-05-04 09:50:50
92,West Midlands,26,428064,10980,ST15 8BS,2020-05-04 09:50:50
93,West Midlands,6439,428064,10980,ST15 8BS,2020-05-04 09:50:50
94,West Midlands,62462,425450,6815,WV3 0BZ,2020-05-04 09:50:50
95,West Midlands,95592,426805,6395,CV5 8GH,2020-05-04 09:50:50
96,West Midlands,62462,426805,6395,CV5 8GH,2020-05-04 09:50:50
97,West Midlands,81422,432015,7825,B45 0BL,2020-05-04 09:50:50
98,West Midlands,75252,439799,2893,B29 6AF,2020-05-04 09:50:50
99,West Midlands,26,438200,9274,ST4 6HP,2020-05-04 09:50:50
100,West Midlands,95592,441812,7005,B98 7TA,2020-05-04 09:50:50
101,West Midlands,6439,441812,7005,B98 7TA,2020-05-04 09:50:50
102,West Midlands,76552,425153,9746,WR12 7AW,2020-05-04 09:50:50
103,West Midlands,81422,433687,4244,SY5 8AY,2020-05-04 09:50:50
104,South East,26,437784,3487,PO15 7NZ,2020-05-04 09:51:39
105,South East,95592,430618,3354,RH12 5FL,2020-05-04 09:51:39
106,South East,6439,438730,9413,HP13 5QG,2020-05-04 09:51:39
107,South East,76552,423732,8745,GU21 7SN,2020-05-04 09:51:39
108,South East,62462,428621,6173,PO14 1HQ,2020-05-04 09:51:39
109,South East,81422,438137,2218,BN2 5DF,2020-05-04 09:51:39
110,South East,1484,435571,3896,PO33 1FF,2020-05-04 09:51:39
111,South East,108342,435571,3896,PO33 1FF,2020-05-04 09:51:39
112,South East,95592,443110,5366,SL2 1JX,2020-05-04 09:51:39
113,South East,81422,443110,5366,SL2 1JX,2020-05-04 09:51:39
114,South East,75252,425574,2989,TN14 5GW,2020-05-04 09:51:39
115,South East,26,437644,8675,SO41 3AE,2020-05-04 09:51:39
116,South East,62462,437644,8675,SO41 3AE,2020-05-04 09:51:39
117,South East,95592,437644,8675,SO41 3AE,2020-05-04 09:51:39
118,South East,62462,434821,3071,BN22 9PQ,2020-05-04 09:51:39
119,South East,4464,432442,4680,MK3 6FH,2020-05-04 09:51:39
120,South East,6439,440154,8764,SO22 4JG,2020-05-04 09:51:39
121,South East,62462,431371,5021,OX7 6DU,2020-05-04 09:51:39
122,South East,108342,429819,10469,GU7 9SL,2020-05-04 09:51:39
123,South East,81422,432052,4501,SO20 6BE,2020-05-04 09:51:39
124,Yorkshire and The Humber,76552,441857,2461,DL8 5SR,2020-05-04 09:55:14
125,Yorkshire and The Humber,1484,426298,5914,BD21 5LH,2020-05-04 09:55:14
126,Yorkshire and The Humber,62462,443447,8878,DN17 2EY,2020-05-04 09:55:14
127,Yorkshire and The Humber,81422,427957,9557,YO32 9UY,2020-05-04 09:55:14
128,Yorkshire and The Humber,6439,426905,5071,S65 4QQ,2020-05-04 09:55:14
129,Yorkshire and The Humber,108342,434451,6284,S20 2QB,2020-05-04 09:55:14
130,Yorkshire and The Humber,4464,434451,6284,S20 2QB,2020-05-04 09:55:14
131,Yorkshire and The Humber,26,426217,2198,DL10 6QL,2020-05-04 09:55:14
132,Yorkshire and The Humber,108342,432594,10837,HU16 5QT,2020-05-04 09:55:14
133,Yorkshire and The Humber,26,432594,10837,HU16 5QT,2020-05-04 09:55:14
134,Yorkshire and The Humber,108342,432594,10837,HU16 5QT,2020-05-04 09:55:14
135,Yorkshire and The Humber,1484,424399,1404,DN16 2EL,2020-05-04 09:55:14
136,Yorkshire and The Humber,76552,428707,4162,BD7 3AA,2020-05-04 09:55:14
137,Yorkshire and The Humber,76552,426545,8573,YO22 5AG,2020-05-04 09:55:14
138,Yorkshire and The Humber,75252,438249,9690,LS29 9JL,2020-05-04 09:55:14
139,Yorkshire and The Humber,76552,432020,4365,S9 3YE,2020-05-04 09:55:14
140,Yorkshire and The Humber,4464,443087,7289,DN14 0UW,2020-05-04 09:55:14
141,Yorkshire and The Humber,26,441674,4274,BD22 7EP,2020-05-04 09:55:14
142,Yorkshire and The Humber,62462,433158,8113,BD7 1QX,2020-05-04 09:55:14
143,Yorkshire and The Humber,4464,438700,7455,S35 3HP,2020-05-04 09:55:14
144,Yorkshire and The Humber,26,438700,7455,S35 3HP,2020-05-04 09:55:14
145,East of England,76552,439093,8509,CO4 5GT,2020-05-04 09:57:58
146,East of England,62462,441302,2106,PE1 5AT,2020-05-04 09:57:58
147,East of England,95592,428022,1390,PE26 1UY,2020-05-04 09:57:58
148,East of England,76552,429539,1550,PE1 5AT,2020-05-04 09:57:58
149,East of England,6439,429539,1550,PE1 5AT,2020-05-04 09:57:58
150,East of England,76552,426055,5564,CO1 2PQ,2020-05-04 09:57:58
151,East of England,26,428241,4324,CM6 2BQ,2020-05-04 09:57:58
152,East of England,4464,426114,4316,CO5 8TR,2020-05-04 09:57:58
153,East of England,26,430622,7891,WD4 9DX,2020-05-04 09:57:58
154,East of England,1484,432422,1996,IP24 2SN,2020-05-04 09:57:58
155,East of England,75252,439268,10722,LU6 2PW,2020-05-04 09:57:58
156,East of England,75252,434895,4989,CB4 3BZ,2020-05-04 09:57:58
157,East of England,26,430176,4793,CB23 5BL,2020-05-04 09:57:58
158,East of England,6439,433334,9371,PE7 2FS,2020-05-04 09:57:58
159,East of England,26,435845,3950,RM19 1SW,2020-05-04 09:57:58
160,East of England,4464,442134,10875,NR32 2PS,2020-05-04 09:57:58
161,East of England,26,426549,5754,CM18 7RE,2020-05-04 09:57:58
162,East of England,26,429971,8509,CO4 5GT,2020-05-04 09:57:58
163,East of England,4464,427182,9957,SS9 5YA,2020-05-04 09:57:58
164,East of England,26,440556,4684,CO10 8BT,2020-05-04 09:57:58
165,South West,6439,428425,4209,EX3 0PL,2020-05-04 10:04:06
166,South West,6439,424954,6792,TR10 8LR,2020-05-04 10:04:06
167,South West,6439,436226,5625,PL31 1NQ,2020-05-04 10:04:06
168,South West,108342,436226,5625,PL31 1NQ,2020-05-04 10:04:06
